# Data from filtration/condensation category learning experiment, 
# published in
# 
# Kruschke, J. K. (1993).  Human category learning: Implications
#   for backpropagation models.  Connection Science, v.5, pp.3-36.
# 
# The stimuli were rectangles that varied in height, with an interior 
# vertical segment that varied in its lateral position.  Best fitting 
# psychological scale values (data from a different experiment; see 
# Kruschke 1993):
# 
#                      ^
#             1.5968   |              6       4             numerical
# height of            |                                    pattern
# rectangle   0.43575  |      8                      2      identifier
#                      |
#            -0.51625  |      7                      1
#                      |
#            -1.5163   |              5       3
#                      +---------------------------------->
#                         -1.5712 -0.51625 0.6588 1.4878
#                                horizontal position
#                                of interior segment
# 
# For categorization condition 1 (filtration),
#   horizontal position was relevant, i.e., 
#   exemplars 1,2,3,4 vs. 5,6,7,8
# For condition 2 (filtration), 
#   height was relevant, i.e.,
#   exemplars 1,3,5,7 vs. 2,4,6,8
# For condition 3 (condensation), 
#   the dividing line was the left diagonal, i.e.,
#   exemplars 1,2,4,6 vs. 3,5,7,8
# For condition 4 (condensation), 
#   the dividing line was the right diagonal, i.e.,
#   exemplars 1,2,3,5 vs. 4,6,7,8
# 
# Data format. Each row has the following fields:
# column 1: the categorization condition (1-4, as elaborated above),
# col 3-4: the subject number (1-40 for each condition)
# col 6-7: the trial number (1-64 for each subject)
# col. 9: the pattern identifier (same sequence for every subject, 
#          with pattern numbers as specified above)
# col. 11: response accuracy (0=wrong, 1=correct, 2=no response 
#                             within 30 sec)
# col. 13-17: response time in milliseconds
1  1  1 5 0  1982
1  1  2 7 1  1906
1  1  3 3 1  1219
1  1  4 4 0  1422
1  1  5 2 0   721
1  1  6 1 0   708
1  1  7 6 0  1664
1  1  8 8 0  1960
1  1  9 2 0  1764
1  1 10 8 1  1930
1  1 11 5 0  1024
1  1 12 6 1  1116
1  1 13 4 0  1228
1  1 14 1 1  1804
1  1 15 3 1  2008
1  1 16 7 1  1493
1  1 17 2 1   860
1  1 18 4 1  1991
1  1 19 7 1  1774
1  1 20 3 0  1808
1  1 21 6 1  1587
1  1 22 1 1  1571
1  1 23 5 1  1519
1  1 24 8 0  1880
1  1 25 1 1  1134
1  1 26 6 0  1220
1  1 27 3 0  2332
1  1 28 4 0  1896
1  1 29 8 1  1405
1  1 30 7 1   849
1  1 31 2 1   794
1  1 32 5 1   698
1  1 33 5 1   548
1  1 34 1 1  2105
1  1 35 6 0  1771
1  1 36 8 1  1886
1  1 37 2 1   819
1  1 38 7 1   548
1  1 39 3 0  1704
1  1 40 4 0  1636
1  1 41 1 0  1636
1  1 42 4 1  1917
1  1 43 8 1  3516
1  1 44 6 0  1918
1  1 45 3 1  1804
1  1 46 2 1   663
1  1 47 7 1   572
1  1 48 5 1  2230
1  1 49 1 1  1132
1  1 50 6 1  2706
1  1 51 7 1   715
1  1 52 8 1   567
1  1 53 5 1  1175
1  1 54 3 1  1270
1  1 55 2 1   687
1  1 56 4 1   946
1  1 57 6 1  1194
1  1 58 7 1  1540
1  1 59 3 1   948
1  1 60 2 1   690
1  1 61 8 1   457
1  1 62 1 1  2018
1  1 63 5 1  1480
1  1 64 4 1  1328
1  2  1 5 0  1122
1  2  2 7 1  2143
1  2  3 3 1  2302
1  2  4 4 1  1875
1  2  5 2 1  1423
1  2  6 1 1   593
1  2  7 6 1   833
1  2  8 8 1   943
1  2  9 2 1  1588
1  2 10 8 1   767
1  2 11 5 1  1851
1  2 12 6 1  1215
1  2 13 4 1  1150
1  2 14 1 1  3103
1  2 15 3 1   915
1  2 16 7 1   803
1  2 17 2 1  1257
1  2 18 4 1  1006
1  2 19 7 1   769
1  2 20 3 1  1432
1  2 21 6 1  1407
1  2 22 1 1   994
1  2 23 5 1   895
1  2 24 8 1  2093
1  2 25 1 1   793
1  2 26 6 1   750
1  2 27 3 1   868
1  2 28 4 1  4479
1  2 29 8 1   747
1  2 30 7 1   548
1  2 31 2 1   711
1  2 32 5 1   932
1  2 33 5 1  1047
1  2 34 1 1   725
1  2 35 6 1   662
1  2 36 8 1   689
1  2 37 2 1   654
1  2 38 7 1  2679
1  2 39 3 1   765
1  2 40 4 1  1470
1  2 41 1 1   799
1  2 42 4 1  2271
1  2 43 8 1   646
1  2 44 6 1  1296
1  2 45 3 1   941
1  2 46 2 1  1931
1  2 47 7 1  1257
1  2 48 5 1  1693
1  2 49 1 1   791
1  2 50 6 1  1141
1  2 51 7 1  1353
1  2 52 8 1   728
1  2 53 5 1  2396
1  2 54 3 1   697
1  2 55 2 1  1319
1  2 56 4 1  1556
1  2 57 6 1   890
1  2 58 7 1  1615
1  2 59 3 1   895
1  2 60 2 1   903
1  2 61 8 1  1114
1  2 62 1 1  1130
1  2 63 5 1  1591
1  2 64 4 1   684
1  3  1 5 0   874
1  3  2 7 1   940
1  3  3 3 1   961
1  3  4 4 1  1232
1  3  5 2 1   692
1  3  6 1 1   553
1  3  7 6 1   605
1  3  8 8 1   578
1  3  9 2 1   560
1  3 10 8 1   579
1  3 11 5 1   843
1  3 12 6 1   620
1  3 13 4 1   735
1  3 14 1 1   570
1  3 15 3 1   729
1  3 16 7 1   492
1  3 17 2 1   568
1  3 18 4 1   710
1  3 19 7 1   506
1  3 20 3 1   473
1  3 21 6 0   914
1  3 22 1 1   763
1  3 23 5 1  1110
1  3 24 8 1   970
1  3 25 1 1   809
1  3 26 6 1  1061
1  3 27 3 1   760
1  3 28 4 1   655
1  3 29 8 1   593
1  3 30 7 1   607
1  3 31 2 1   522
1  3 32 5 0   751
1  3 33 5 1   463
1  3 34 1 1   746
1  3 35 6 1   762
1  3 36 8 1   580
1  3 37 2 1   586
1  3 38 7 1   690
1  3 39 3 1  1146
1  3 40 4 1   714
1  3 41 1 1   656
1  3 42 4 1   758
1  3 43 8 1   566
1  3 44 6 1   632
1  3 45 3 1   583
1  3 46 2 1   559
1  3 47 7 1   568
1  3 48 5 1   831
1  3 49 1 1   531
1  3 50 6 0   574
1  3 51 7 1   707
1  3 52 8 1   609
1  3 53 5 1   640
1  3 54 3 1   728
1  3 55 2 1  1304
1  3 56 4 1   719
1  3 57 6 1   569
1  3 58 7 0   627
1  3 59 3 1  1436
1  3 60 2 0   580
1  3 61 8 1   899
1  3 62 1 1   794
1  3 63 5 1   704
1  3 64 4 1  1237
1  4  1 5 1  1604
1  4  2 7 1   734
1  4  3 3 1   835
1  4  4 4 1  1407
1  4  5 2 1   468
1  4  6 1 1   467
1  4  7 6 1  1276
1  4  8 8 1   434
1  4  9 2 1   467
1  4 10 8 1   502
1  4 11 5 1   470
1  4 12 6 1  1182
1  4 13 4 1   653
1  4 14 1 1   378
1  4 15 3 1   432
1  4 16 7 1  1565
1  4 17 2 1   475
1  4 18 4 1  1902
1  4 19 7 1   837
1  4 20 3 1   458
1  4 21 6 1  1244
1  4 22 1 1   361
1  4 23 5 1   530
1  4 24 8 1   706
1  4 25 1 1   912
1  4 26 6 1   417
1  4 27 3 1   474
1  4 28 4 1   519
1  4 29 8 1   489
1  4 30 7 1   583
1  4 31 2 1   403
1  4 32 5 1   464
1  4 33 5 1   479
1  4 34 1 1   386
1  4 35 6 1   463
1  4 36 8 1   444
1  4 37 2 1   448
1  4 38 7 1   369
1  4 39 3 1   469
1  4 40 4 1   981
1  4 41 1 1   433
1  4 42 4 1  1366
1  4 43 8 1   476
1  4 44 6 1   640
1  4 45 3 1   547
1  4 46 2 1   738
1  4 47 7 1   489
1  4 48 5 1   454
1  4 49 1 1   371
1  4 50 6 1   538
1  4 51 7 1   468
1  4 52 8 1   387
1  4 53 5 1   385
1  4 54 3 1   446
1  4 55 2 1   448
1  4 56 4 1   572
1  4 57 6 1   513
1  4 58 7 1   576
1  4 59 3 1   527
1  4 60 2 1   543
1  4 61 8 1   555
1  4 62 1 1   512
1  4 63 5 1   488
1  4 64 4 1   364
1  5  1 5 0   890
1  5  2 7 0  1321
1  5  3 3 0   793
1  5  4 4 0  3132
1  5  5 2 1   880
1  5  6 1 1   574
1  5  7 6 1   923
1  5  8 8 1  1005
1  5  9 2 0   742
1  5 10 8 1   810
1  5 11 5 0  2902
1  5 12 6 1  2053
1  5 13 4 1   982
1  5 14 1 1  2130
1  5 15 3 1   780
1  5 16 7 1   741
1  5 17 2 1   773
1  5 18 4 1  1812
1  5 19 7 1   689
1  5 20 3 1  1285
1  5 21 6 1   904
1  5 22 1 1   723
1  5 23 5 1   761
1  5 24 8 1   633
1  5 25 1 1   537
1  5 26 6 1   568
1  5 27 3 1   596
1  5 28 4 1  1914
1  5 29 8 1   578
1  5 30 7 1   589
1  5 31 2 1   529
1  5 32 5 1  1436
1  5 33 5 1   701
1  5 34 1 1   504
1  5 35 6 1   861
1  5 36 8 1   601
1  5 37 2 1   481
1  5 38 7 1   598
1  5 39 3 1  1194
1  5 40 4 1   698
1  5 41 1 1   456
1  5 42 4 1   456
1  5 43 8 1   554
1  5 44 6 1   579
1  5 45 3 1   427
1  5 46 2 1   635
1  5 47 7 1   521
1  5 48 5 1   440
1  5 49 1 1   472
1  5 50 6 1  1503
1  5 51 7 1   510
1  5 52 8 1   624
1  5 53 5 1   579
1  5 54 3 1   602
1  5 55 2 1   582
1  5 56 4 1  1112
1  5 57 6 1   860
1  5 58 7 1   481
1  5 59 3 1   561
1  5 60 2 1   384
1  5 61 8 1   458
1  5 62 1 1   472
1  5 63 5 1   441
1  5 64 4 1   847
1  6  1 5 1  2205
1  6  2 7 1  1726
1  6  3 3 1   866
1  6  4 4 1   935
1  6  5 2 1   718
1  6  6 1 1  1004
1  6  7 6 1  1210
1  6  8 8 1   645
1  6  9 2 1   797
1  6 10 8 0  2580
1  6 11 5 1  1237
1  6 12 6 1   968
1  6 13 4 1  2927
1  6 14 1 1   728
1  6 15 3 1   977
1  6 16 7 1   966
1  6 17 2 1   495
1  6 18 4 1  3056
1  6 19 7 1   545
1  6 20 3 1  3843
1  6 21 6 1  1936
1  6 22 1 1   573
1  6 23 5 1  2441
1  6 24 8 1   788
1  6 25 1 1   558
1  6 26 6 1  1157
1  6 27 3 1   687
1  6 28 4 1  3886
1  6 29 8 1   627
1  6 30 7 1   448
1  6 31 2 1   434
1  6 32 5 1   818
1  6 33 5 1  1775
1  6 34 1 1   835
1  6 35 6 1   733
1  6 36 8 1   609
1  6 37 2 1  1180
1  6 38 7 1   649
1  6 39 3 1   835
1  6 40 4 1  4293
1  6 41 1 1   622
1  6 42 4 1   552
1  6 43 8 1   454
1  6 44 6 1  2938
1  6 45 3 1   894
1  6 46 2 1   548
1  6 47 7 1   507
1  6 48 5 1  1921
1  6 49 1 1   448
1  6 50 6 1   719
1  6 51 7 1   553
1  6 52 8 1   546
1  6 53 5 1  1049
1  6 54 3 1   505
1  6 55 2 1  1551
1  6 56 4 1   792
1  6 57 6 1   879
1  6 58 7 1   585
1  6 59 3 1   608
1  6 60 2 1  1313
1  6 61 8 1   658
1  6 62 1 1   487
1  6 63 5 1  1372
1  6 64 4 1   933
1  7  1 5 0  1620
1  7  2 7 0  1319
1  7  3 3 1  1199
1  7  4 4 0  1562
1  7  5 2 1  1901
1  7  6 1 1  1100
1  7  7 6 1   741
1  7  8 8 0   859
1  7  9 2 1  1123
1  7 10 8 1   793
1  7 11 5 1  1229
1  7 12 6 0   975
1  7 13 4 1   934
1  7 14 1 0   845
1  7 15 3 1   978
1  7 16 7 1   841
1  7 17 2 1  2813
1  7 18 4 0  1018
1  7 19 7 0   947
1  7 20 3 0   599
1  7 21 6 0   797
1  7 22 1 1  1046
1  7 23 5 0  1328
1  7 24 8 1   633
1  7 25 1 1  1389
1  7 26 6 1  1800
1  7 27 3 1   974
1  7 28 4 0  2040
1  7 29 8 1   973
1  7 30 7 1   687
1  7 31 2 1   492
1  7 32 5 0  1060
1  7 33 5 1   698
1  7 34 1 1   746
1  7 35 6 1   969
1  7 36 8 1   853
1  7 37 2 1  1174
1  7 38 7 1   670
1  7 39 3 1   540
1  7 40 4 1   832
1  7 41 1 1   559
1  7 42 4 1  1489
1  7 43 8 1   481
1  7 44 6 1  2780
1  7 45 3 1   718
1  7 46 2 1   786
1  7 47 7 1   796
1  7 48 5 1   821
1  7 49 1 1  1116
1  7 50 6 1   664
1  7 51 7 1   625
1  7 52 8 1   500
1  7 53 5 1   629
1  7 54 3 1   547
1  7 55 2 1   856
1  7 56 4 1   823
1  7 57 6 1   749
1  7 58 7 1   629
1  7 59 3 1   649
1  7 60 2 1   583
1  7 61 8 1   626
1  7 62 1 1   625
1  7 63 5 1   658
1  7 64 4 1   930
1  8  1 5 0  2377
1  8  2 7 0  3532
1  8  3 3 1  3009
1  8  4 4 0  2130
1  8  5 2 1  1247
1  8  6 1 1  1027
1  8  7 6 1  1048
1  8  8 8 1   721
1  8  9 2 1   620
1  8 10 8 0  1042
1  8 11 5 1  2621
1  8 12 6 1   956
1  8 13 4 1  1105
1  8 14 1 1  1847
1  8 15 3 1   819
1  8 16 7 1   623
1  8 17 2 1   888
1  8 18 4 1  1000
1  8 19 7 1   561
1  8 20 3 1  1421
1  8 21 6 1  1037
1  8 22 1 1  1151
1  8 23 5 1   671
1  8 24 8 1   631
1  8 25 1 1   658
1  8 26 6 1   776
1  8 27 3 1   699
1  8 28 4 1   616
1  8 29 8 1   445
1  8 30 7 1   548
1  8 31 2 1   521
1  8 32 5 1   882
1  8 33 5 1   638
1  8 34 1 1   540
1  8 35 6 1   644
1  8 36 8 1   570
1  8 37 2 1   478
1  8 38 7 1   833
1  8 39 3 1   750
1  8 40 4 1   885
1  8 41 1 1  3118
1  8 42 4 1   597
1  8 43 8 1   469
1  8 44 6 1   502
1  8 45 3 1   861
1  8 46 2 1   835
1  8 47 7 1   495
1  8 48 5 1   798
1  8 49 1 1   662
1  8 50 6 1   756
1  8 51 7 1   548
1  8 52 8 1   903
1  8 53 5 1   584
1  8 54 3 1   687
1  8 55 2 1  1289
1  8 56 4 1   522
1  8 57 6 1   635
1  8 58 7 1   425
1  8 59 3 1   551
1  8 60 2 1   703
1  8 61 8 1   480
1  8 62 1 1   806
1  8 63 5 1   661
1  8 64 4 1   560
1  9  1 5 0   458
1  9  2 7 1   586
1  9  3 3 1   616
1  9  4 4 1   600
1  9  5 2 1   498
1  9  6 1 1   404
1  9  7 6 1   399
1  9  8 8 1   534
1  9  9 2 1   531
1  9 10 8 1   326
1  9 11 5 0   814
1  9 12 6 1   711
1  9 13 4 1   457
1  9 14 1 1   538
1  9 15 3 1   598
1  9 16 7 1   419
1  9 17 2 1   321
1  9 18 4 1   703
1  9 19 7 1   349
1  9 20 3 1   619
1  9 21 6 1   421
1  9 22 1 1   357
1  9 23 5 1   311
1  9 24 8 1   486
1  9 25 1 1   298
1  9 26 6 1   229
1  9 27 3 1   276
1  9 28 4 0   248
1  9 29 8 1   763
1  9 30 7 1   355
1  9 31 2 1   367
1  9 32 5 1   380
1  9 33 5 1   691
1  9 34 1 1   357
1  9 35 6 1   267
1  9 36 8 0   248
1  9 37 2 1   532
1  9 38 7 1   478
1  9 39 3 1   610
1  9 40 4 0   694
1  9 41 1 1   588
1  9 42 4 1   475
1  9 43 8 1   301
1  9 44 6 1   814
1  9 45 3 1   510
