"cond" "subj" "trial" "pattern" "resp" "RT" "true_cat" "obs_cat" "learn"
"1" 1 1 1 5 0 1982 1 0 1
"2" 1 1 2 7 1 1906 1 1 1
"3" 1 1 3 3 1 1219 0 0 1
"4" 1 1 4 4 0 1422 0 1 1
"5" 1 1 5 2 0 721 0 1 1
"6" 1 1 6 1 0 708 0 1 1
"7" 1 1 7 6 0 1664 1 0 1
"8" 1 1 8 8 0 1960 1 0 1
"9" 1 1 9 2 0 1764 0 1 1
"10" 1 1 10 8 1 1930 1 1 1
"11" 1 1 11 5 0 1024 1 0 1
"12" 1 1 12 6 1 1116 1 1 1
"13" 1 1 13 4 0 1228 0 1 1
"14" 1 1 14 1 1 1804 0 0 1
"15" 1 1 15 3 1 2008 0 0 1
"16" 1 1 16 7 1 1493 1 1 1
"17" 1 1 17 2 1 860 0 0 1
"18" 1 1 18 4 1 1991 0 0 1
"19" 1 1 19 7 1 1774 1 1 1
"20" 1 1 20 3 0 1808 0 1 1
"21" 1 1 21 6 1 1587 1 1 1
"22" 1 1 22 1 1 1571 0 0 1
"23" 1 1 23 5 1 1519 1 1 1
"24" 1 1 24 8 0 1880 1 0 1
"25" 1 1 25 1 1 1134 0 0 1
"26" 1 1 26 6 0 1220 1 0 1
"27" 1 1 27 3 0 2332 0 1 1
"28" 1 1 28 4 0 1896 0 1 1
"29" 1 1 29 8 1 1405 1 1 1
"30" 1 1 30 7 1 849 1 1 1
"31" 1 1 31 2 1 794 0 0 1
"32" 1 1 32 5 1 698 1 1 1
"33" 1 1 33 5 1 548 1 1 1
"34" 1 1 34 1 1 2105 0 0 1
"35" 1 1 35 6 0 1771 1 0 1
"36" 1 1 36 8 1 1886 1 1 1
"37" 1 1 37 2 1 819 0 0 1
"38" 1 1 38 7 1 548 1 1 1
"39" 1 1 39 3 0 1704 0 1 1
"40" 1 1 40 4 0 1636 0 1 1
"41" 1 1 41 1 0 1636 0 1 1
"42" 1 1 42 4 1 1917 0 0 1
"43" 1 1 43 8 1 3516 1 1 1
"44" 1 1 44 6 0 1918 1 0 1
"45" 1 1 45 3 1 1804 0 0 1
"46" 1 1 46 2 1 663 0 0 1
"47" 1 1 47 7 1 572 1 1 1
"48" 1 1 48 5 1 2230 1 1 1
"49" 1 1 49 1 1 1132 0 0 1
"50" 1 1 50 6 1 2706 1 1 1
"51" 1 1 51 7 1 715 1 1 1
"52" 1 1 52 8 1 567 1 1 1
"53" 1 1 53 5 1 1175 1 1 1
"54" 1 1 54 3 1 1270 0 0 1
"55" 1 1 55 2 1 687 0 0 1
"56" 1 1 56 4 1 946 0 0 1
"57" 1 1 57 6 1 1194 1 1 1
